timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665921370977,131,Delete User,200,OK,stress 1-18,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,131,0,0
1665921371108,141,Get User by ID,200,OK,stress 1-18,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,141,0,0
1665921372419,580,Get Users,200,OK,stress 1-19,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,580,0,428
1665921372999,130,Delete User,200,OK,stress 1-19,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,130,0,0
1665921373130,139,Get User by ID,200,OK,stress 1-19,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,139,0,0
1665921374413,535,Get Users,200,OK,stress 1-20,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,535,0,393
1665921374948,146,Delete User,200,OK,stress 1-20,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,146,0,0
1665921375095,134,Get User by ID,200,OK,stress 1-20,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,134,0,0
1665921376412,589,Get Users,200,OK,stress 1-21,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,589,0,437
1665921377002,127,Delete User,200,OK,stress 1-21,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,127,0,0
1665921377129,140,Get User by ID,200,OK,stress 1-21,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,140,0,0
1665921378411,552,Get Users,200,OK,stress 1-22,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,552,0,416
1665921378963,126,Delete User,200,OK,stress 1-22,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,126,0,0
1665921379089,141,Get User by ID,200,OK,stress 1-22,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,141,0,0
1665921380411,568,Get Users,200,OK,stress 1-23,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,568,0,426
1665921380979,130,Delete User,200,OK,stress 1-23,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,130,0,0
1665921381109,140,Get User by ID,200,OK,stress 1-23,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,140,0,0
1665921382411,538,Get Users,200,OK,stress 1-24,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,538,0,414
1665921382949,140,Delete User,200,OK,stress 1-24,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,139,0,0
1665921383089,142,Get User by ID,200,OK,stress 1-24,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,142,0,0
1665921384411,553,Get Users,200,OK,stress 1-25,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,553,0,413
1665921384965,120,Delete User,200,OK,stress 1-25,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,120,0,0
1665921386174,130,Get User by ID,200,OK,stress 1-25,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,129,0,0
1665921386415,534,Get Users,200,OK,stress 1-26,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,534,0,400
1665921386949,178,Delete User,200,OK,stress 1-26,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,178,0,0
1665921387127,139,Get User by ID,200,OK,stress 1-26,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/2,139,0,0
1665921388734,734,Get Users,200,OK,stress 1-27,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,734,0,576
1665921389469,148,Delete User,200,OK,stress 1-27,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,148,0,0
1665921389617,270,Get User by ID,200,OK,stress 1-27,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/4,270,0,0
1665921390413,787,Get Users,200,OK,stress 1-28,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,787,0,564
1665921391201,148,Delete User,200,OK,stress 1-28,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,148,0,0
1665921391349,241,Get User by ID,200,OK,stress 1-28,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/6,241,0,0
1665921392409,666,Get Users,200,OK,stress 1-29,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,666,0,496
1665921393075,134,Delete User,200,OK,stress 1-29,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,134,0,0
1665921393209,165,Get User by ID,200,OK,stress 1-29,text,true,,310,157,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/8,165,0,0
1665921394413,726,Get Users,200,OK,stress 1-30,text,true,,784,155,1,1,https://project3demo-appservice.azurewebsites.net/api/Users,726,0,600
1665921395139,236,Delete User,200,OK,stress 1-30,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,236,0,0
1665921395375,144,Get User by ID,200,OK,stress 1-30,text,true,,313,158,1,1,https://project3demo-appservice.azurewebsites.net/api/Users/10,144,0,0
